Categoria,Nome do Produto,Descrição,Preço Base (R$),Imposto de Importação (%),ICMS (%),IPI (%),PIS (%),COFINS (%),Total de Impostos (%),Preço Final c/ Impostos (R$)
Teclado,Logitech Teclado Modelo 641,"Teclado da marca Logitech, modelo avançado com alta performance para aplicações diversas.",4494.62,37.82,14.29,7.74,1.02,5.24,66.11,746.6
Mouse,Razer Mouse Modelo 174,"Mouse da marca Razer, modelo avançado com alta performance para aplicações diversas.",2857.35,38.19,7.85,8.76,1.33,3.25,59.38,455.4
Notebook,Dell Notebook Modelo 985,"Notebook da marca Dell, modelo avançado com alta performance para aplicações diversas.",2705.91,32.02,12.04,1.15,0.76,3.23,49.2,403.72
Placa-mãe,Gigabyte Placa-mãe Modelo 777,"Placa-mãe da marca Gigabyte, modelo avançado com alta performance para aplicações diversas.",3012.83,30.34,8.57,2.01,1.38,5.07,47.37,444.0
Suporte Monitor,Furitec Suporte Monitor Modelo 564,"Suporte Monitor da marca Furitec, modelo avançado com alta performance para aplicações diversas.",2503.94,11.74,10.62,3.94,1.29,7.12,34.71,337.31
SSD,Kingston SSD Modelo 566,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",154.44,34.29,15.45,4.81,0.94,7.19,62.68,25.12
Notebook,Lenovo Notebook Modelo 379,"Notebook da marca Lenovo, modelo avançado com alta performance para aplicações diversas.",3080.62,36.77,13.45,8.41,1.13,3.57,63.33,503.16
Webcam,Microsoft Webcam Modelo 522,"Webcam da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",5801.41,22.53,11.46,5.5,1.1,4.3,44.89,840.57
Mouse,Razer Mouse Modelo 635,"Mouse da marca Razer, modelo avançado com alta performance para aplicações diversas.",4031.39,22.48,14.8,6.05,1.09,5.56,49.98,604.63
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 358,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",5130.9,16.72,13.56,2.11,1.09,5.51,38.99,713.14
Placa-mãe,MSI Placa-mãe Modelo 299,"Placa-mãe da marca MSI, modelo avançado com alta performance para aplicações diversas.",1096.36,31.77,15.68,1.18,1.45,6.78,56.86,171.98
Controle Console,8BitDo Controle Console Modelo 645,"Controle Console da marca 8BitDo, modelo avançado com alta performance para aplicações diversas.",635.94,31.81,15.36,6.9,0.68,6.32,61.07,102.43
Headset,Razer Headset Modelo 325,"Headset da marca Razer, modelo avançado com alta performance para aplicações diversas.",4380.32,18.62,17.85,0.43,1.63,4.05,42.58,624.55
Teclado,Razer Teclado Modelo 767,"Teclado da marca Razer, modelo avançado com alta performance para aplicações diversas.",4658.34,32.05,10.89,4.3,1.2,3.71,52.15,708.77
Monitor,Samsung Monitor Modelo 527,"Monitor da marca Samsung, modelo avançado com alta performance para aplicações diversas.",4112.08,21.85,13.03,5.69,1.0,7.33,48.9,612.29
Headset,HyperX Headset Modelo 936,"Headset da marca HyperX, modelo avançado com alta performance para aplicações diversas.",4975.26,32.99,11.34,2.11,0.79,4.3,51.53,753.9
