Nome do Produto,Categoria,Descrição,Preço Base (R$),Imposto de Importação (%),ICMS (%),IPI (%),Preço Final c/ Impostos (R$)
Processador Eos 1825,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",587.54,9.13,13.34,11.05,784.48
Processador Unde 8936,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",804.29,11.33,12.18,3.28,1019.76
Processador Ducimus 8280,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2607.07,13.42,16.3,10.52,3656.15
Processador Reprehenderit 6874,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",1271.54,13.84,16.86,0.1,1663.17
Processador Corrupti 2616,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2943.49,10.1,12.93,14.36,4044.06
Processador Aliquam 5515,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",857.74,10.7,14.15,5.16,1115.15
Processador Quas 4334,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3324.95,15.95,15.22,14.6,4846.78
Processador Culpa 6202,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",775.8,9.4,15.77,13.28,1074.1
Processador Atque 5926,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2520.73,15.57,12.27,3.42,3308.71
Processador Consequuntur 4742,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3948.28,17.83,17.2,5.7,5556.41
Processador Praesentium 7429,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2724.9,10.47,14.22,3.14,3483.24
Processador Consequatur 4375,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2956.37,15.25,12.43,9.52,4056.14
Processador Deleniti 8752,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3051.94,7.45,14.28,14.84,4168.03
Processador Optio 9126,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",1268.65,9.86,16.61,0.84,1615.12
Processador Reprehenderit 526,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3317.66,11.02,12.4,13.7,4549.18
Processador Natus 9293,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3567.29,9.72,15.93,5.93,4693.84
Processador Deleniti 7518,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",1000.05,7.09,16.47,8.08,1316.47
Processador Veritatis 9578,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",1999.52,13.75,14.17,14.96,2856.91
Processador Eveniet 2267,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2283.34,6.36,12.28,1.64,2746.4
Processador Incidunt 2622,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3272.28,11.33,12.38,5.72,4235.31
Processador Ullam 7669,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2351.9,19.57,17.16,0.17,3219.75
